city,lat,lng,population
Mumbai,19.07283,72.88261,12691836
Thane,19.33333,73.25,11060148
Delhi,28.65195,77.23149,11034555
Barddhamān,23.25,87.75,7717563
Murshidabad,24.1,88.25,7103807
Hyderabad,17.38405,78.45636,6993262
Jaipur,27,76,6626178
Ahmedabad,23.02579,72.58727,6357693
Sūrat,21.17801,72.81189,6081322
Prayagraj,25.42012,81.88385,5954391
Paschim Medinipur,22.40813,87.38107,5913457
Patna,25.41667,85.16667,5838465
Rangareddi,17.27883,78.16844,5296741
Tiruvottiyur,13.10025,80.24643,5219552
Nadia,23.25,88.5,5167600
East Godāvari,17.07525,81.71896,5154296
Pūrba Champāran,26.58333,84.83333,5099371
Purba Medinipur,21.93732,87.77633,5095875
Guntūr,16.27149,80.43311,4887813
Hāora,22.6,88.25,4850029
Muzaffarpur,26.16667,85.41667,4801062
Belgaum,16.33333,74.75,4779661
Morādābād,28.8525,78.79703,4772006
Ghāziābād,28.69537,77.45819,4681645
Chennai,13.08784,80.27847,4681087
Kolkata,22.56263,88.36304,4631392
Āzamgarh,26,83,4613913
Surat,21.19594,72.83023,4591246
Kānpur,26.38052,80.21578,4581268
Ahmadnagar,19.4,74.65,4543159
Krishna,16.30312,80.99566,4517398
Jaunpur,25.75,82.75,4494204
Madhubani,26.33333,86.08333,4487379
Sītāpur,27.5,80.91667,4483992
Majura,21.17962,72.83054,4467797
Bareilly,28.41667,79.38333,4448359
Gorakhpur,26.91667,83.25,4440895
Āgra,27.08333,77.96667,4418797
Gayā,24.75,85,4391418
Solapur,17.75,75.5,4317756
Vishākhapatnam,17.73333,83.26667,4290589
Samastīpur,25.75,85.91667,4261566
Jalgaon,21,75.5,4229917
Chittoor,13.41667,79,4174064
Vadodara,22.18,73.12,4165626
Muzaffarnagar,29.45,77.58333,4143512
Malappuram,11,76.16667,4112920
Hardoi,27.41667,80.25,4092845
Anantapur,14.55,77.41667,4081148
Raipur,21.25621,81.69022,4063872
Kurnool,15.61134,77.65265,4053463
Mahbūbnagar,16.76091,77.99587,4053028
Kheri,28.11667,80.71667,4021243
Kancheepuram,12.83359,79.78225,3998252
Māldah,25,88,3988845
Sāran,25.91667,84.75,3951862
Darbhanga,26,86,3937385
West Godāvari,16.53101,81.6205,3936966
Pashchim Champāran,27,84.5,3935042
Kolhapur,16.69013,74.22981,3876001
Jalpāiguri,26.51974,88.7146,3872846
Rajkot,22.33333,70.83333,3804558
Sultānpur,26.25,82,3797117
Karīmnagar,18.33844,79.22938,3776269
Thiruvallur,13.25,80,3728104
Aurangabad,19.88467,75.33986,3701282
Jodhpur,26.75,72.75,3687165
